longitude	latitude	id	@id	brand	brand:el	brand:en	brand:wikidata	brand:wikipedia	building	currency:EUR	name	name:el	name:en	opening_hours	opening_hours:covid19	shop	addr:city	addr:housenumber	addr:postcode	addr:street	payment:cash	payment:debit_cards	phone	website	alt_name	addr:city:el	addr:city:en	addr:country	operator	branch	int_name	source	wheelchair	building:levels	delivery	email	addr:province	amenity	facebook	parking	twitter	payment:cards	payment:credit_cards	condition	level	organic	landuse	addr:district	short_name	short_name:en	contact:phone	addr:unit	vegan	old_name	payment:coins	payment:mastercard	payment:notes	payment:visa	recycling_type	name:de	name:ru	atm	indoor	cuisine	note	ref	addr:interpolation	toilets:wheelchair	addr:place	addr:neighborhood	name:int	contact:website	payment:credit_card	diet:vegan	start_date	clothes	description	internet_access	contact:facebook	contact:messenger	vegetarian	payment:bitcoin	name:ko	payment:american_express	payment:contactless	payment:diners_club	payment:visa_electron
23.7975802789406	38.0239198305695	way/32474399	way/32474399	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.8617273043004	38.0076089669764	way/47438567	way/47438567	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	supermarket		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Γέρακας	131	15344	Μαραθώνος	yes	yes	21 0660 1300	sklavenitis.gr																																																															
23.6773889130386	37.9748009021928	way/49264229	way/49264229						yes		The Mart					supermarket									Cash & Carry Hellas																																																														
23.6727434336259	37.974520979065	way/49272014	way/49272014	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis			supermarket																																																																							
23.7250633	38.04158305	way/52041733	way/52041733	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Ίλιον	67Α		Δημοκρατίας			+302102370000																																																																
23.7001625016735	37.938458061187	way/68339045	way/68339045	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis			supermarket																																																																							
23.7598053199982	37.8701398165386	way/78606345	way/78606345	Lidl			Q151954	en:Lidl	yes		Lidl					supermarket	Γλυφάδα	87	16674	Βουλιαγμένης						Γλυφάδα	Glyfada	GR																																																											
23.69075695	38.0892737	way/83683020	way/83683020						yes	yes				Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket													ΑΒ Βασιλόπουλος																																																										
23.8326359319382	38.0506256726596	way/84790933	way/84790933						yes	yes	Lidl Supermarket			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.82858595	38.0398745	way/84810025	way/84810025	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes	yes	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Βριλήσσια	39	15235	Πεντέλης			+302144004005 +302106139445 +302106139446 +302108034741	https://www.ab.gr/storedetails/vrilissia				GR		ΒΡΙΛΗΣΣΙΑ	Vasilopoulos																																																								
23.6952012	37.97497715	way/85132232	way/85132232	Lidl			Q151954	en:Lidl	yes		Lidl					supermarket																																																																							
23.7297441297518	38.0276585377517	way/102322655	way/102322655	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																Yahoo																																																							
23.7412675660557	38.0331948631637	way/107973896	way/107973896	Lidl			Q151954	en:Lidl	yes	yes	Lidl			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.722657231723	37.953762748364	way/132557070	way/132557070	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis			supermarket																																																																							
23.7405370254262	37.9415534517821	way/142662193	way/142662193	Lidl			Q151954	en:Lidl	yes		Lidl					supermarket																																																																							
23.6344468432865	37.9496685630332	way/156091480	way/156091480	Lidl			Q151954	en:Lidl	yes		Lidl			Mo-Sa 08:00-21:00		supermarket																	yes																																																						
23.7591175631941	37.8722725998314	way/170056480	way/170056480						yes		Sklavenitis					supermarket																																																																							
23.8728801665584	38.0150897171297	way/174285862	way/174285862						commercial		The MART			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Παλλήνη	10	15351	Ανθούσας			21 0660 7700					GR																																																											
23.8491380534805	37.9931260080043	way/174436091	way/174436091	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	retail		ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Γλυκά Νερά	113-115	15354	Λαυρίου			+302106041966 +302106041968	https://www.ab.gr/storedetails/glyka-nera-1						ΓΛΥΚΑ ΝΕΡΑ 1				1																																																					
23.7360234197954	37.9058375876547	way/175017009	way/175017009	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis			supermarket	Άλιμος	1	17455	Παλαιστίνης								GR						1																																																					
23.7620254123721	37.8879646999392	way/179112031	way/179112031	Γαλαξίας	Γαλαξίας	Galaxias	Q5518063	el:Γαλαξίας (σούπερ μάρκετ)	yes		Γαλαξίας	Γαλαξίας	Galaxias			supermarket																																																																							
23.75784685	37.8792722	way/182550791	way/182550791						yes		My Market					supermarket				Ανδρέα Παπανδρέου																																																																			
23.8129933962223	38.0270428866256	way/182674380	way/182674380	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes	yes	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Χαλάνδρι	84	15234	Πεντέλης				https://www.ab.gr/storedetails/chalandri-free-flow				GR	Delhaize	ΧΑΛΑΝΔΡΙ FREE FLOW																																																									
23.7395624779944	38.0685342854621	way/186805541	way/186805541	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος		yes	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7341598023225	38.0782600451145	way/188249217	way/188249217							yes	My market			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7394544015252	38.0602136918249	way/188262188	way/188262188	Γαλαξίας	Γαλαξίας	Galaxias	Q5518063	el:Γαλαξίας (σούπερ μάρκετ)		yes	Γαλαξίας	Γαλαξίας	Galaxias	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7650707453605	37.8920058001111	way/190049691	way/190049691	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00		supermarket																																																																							
23.7646956493041	37.8744642000093	way/190495169	way/190495169	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes		ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00	Mo-Fr 07:00-21:00; Sa 07:00-20:00	supermarket	Γλυφάδα	163	16674	Γούναρη						Γλυφάδα	Glyfada	GR		https://www.ab.gr/storedetails/glyfada-3-goynari																																																									
23.7379928199069	38.0876087409059	way/191275373	way/191275373	Γαλαξίας	Γαλαξίας	Galaxias	Q5518063	el:Γαλαξίας (σούπερ μάρκετ)		yes	Γαλαξίας	Γαλαξίας	Galaxias	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7472809704747	37.8910319000421	way/191315118	way/191315118	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes		ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00	Mo-Fr 07:00-21:00; Sa 07:00-20:00	supermarket	Ελληνικό	43-45	16777	Βουλιαγμένης			+302109634402	https://www.ab.gr/storedetails/elliniko				GR		ΕΛΛΗΝΙΚΟ																																																									
23.7617961	37.8914773	way/192239359	way/192239359						yes		My market			Mo-Fr 08:00-21:00; Sa 08:00-20:00		supermarket	Γλυφάδα	5	16562	Κωνσταντίνου Αθανάτου			+30 210 9605556					GR							yes	sm37@mymarket.gr																																																			
23.6379923625442	37.9498543441862	way/193004226	way/193004226	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes		ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00	Mo-Fr 07:00-21:00; Sa 07:00-20:00	supermarket	Πειραιάς	44	18542	Ακτή Κονδύλη			+302104625572	https://www.ab.gr/storedetails/akti-kondyli-peiraias				GR		ΑΚΤΗ ΚΟΝΔΥΛΗ ΠΕΙΡΑΙΑΣ																																																									
23.7309027981564	38.0622944799683	way/195758481	way/195758481	Lidl			Q151954	en:Lidl		yes	Lidl			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7308107910976	38.058340994155	way/195758484	way/195758484	Γαλαξίας	Γαλαξίας	Galaxias	Q5518063	el:Γαλαξίας (σούπερ μάρκετ)		yes	Γαλαξίας	Γαλαξίας	Galaxias	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7485226244186	38.0348883009129	way/209576255	way/209576255	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes	yes	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Νέα Ιωνία	38	14232	Αβέρωφ			+302102514764 +302102514469 +302102514025	https://www.ab.gr/storedetails/perissos						ΠΕΡΙΣΣΟΣ																																																									
23.7551105018421	38.038056570575	way/209576258	way/209576258						yes	yes	My market			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Νέα Ιωνία			Αγ. Γεωργίου			+302102713454																																																																
23.7604268354354	38.043492189564	way/209576263	way/209576263	Lidl			Q151954	en:Lidl	yes	yes	Lidl			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																	yes																																																						
23.6116907126484	37.9625824223133	way/210525706	way/210525706	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis			supermarket																																																																							
23.7581867220913	37.898453011012	way/212120989	way/212120989	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis			supermarket																																																																							
23.8426228272516	38.0440217193457	way/216997848	way/216997848	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7451107054007	37.8660220468571	way/217631896	way/217631896													supermarket																																																																							
23.68043185	37.9759076	way/218604834	way/218604834						yes		METRO Cash & Carry					supermarket	Άγιος Ιωάννης Ρέντης	75		Πέτρου Ράλλη			2105441934													cc61@metro.com.gr																																																			
23.7426222	38.1026989	way/218923927	way/218923927	Lidl			Q151954	en:Lidl		yes	Lidl			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7016223135991	37.9903473738089	way/219221119	way/219221119	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																							
23.7520823442524	38.0494785501915	way/225920556	way/225920556	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket				Ιφιγενείας													yes																																																						
23.8100526336979	38.0494364974591	way/226211469	way/226211469						yes	yes	My market			Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Μαρούσι			Μαραθωνοδρόμου																																																																			
